fold,model,training_start,training_end,test_start,test_end,training_rows,test_rows,mae,rmse,smape,mase
8,mean,2017-12-01 00:00:00,2018-10-26 23:00:00,2018-10-27 00:00:00,2018-11-02 23:00:00,7920,168,396.5800865800866,502.7001090347085,54.19226317490759,1.4149417934890929
8,naive,2017-12-01 00:00:00,2018-10-26 23:00:00,2018-10-27 00:00:00,2018-11-02 23:00:00,7920,168,423.6190476190476,537.9179770188016,58.74887329868768,1.5114129914165337
8,seasonal_naive_24,2017-12-01 00:00:00,2018-10-26 23:00:00,2018-10-27 00:00:00,2018-11-02 23:00:00,7920,168,409.57738095238096,539.2834366082459,68.58259573318831,1.4613143059574567
8,seasonal_naive_168,2017-12-01 00:00:00,2018-10-26 23:00:00,2018-10-27 00:00:00,2018-11-02 23:00:00,7920,168,304.2738095238095,418.18160784862016,36.54386633748172,1.0856060208974592
9,mean,2017-12-01 00:00:00,2018-11-02 23:00:00,2018-11-03 00:00:00,2018-11-09 23:00:00,8088,168,575.2865797654373,625.5878078118266,134.40455804394293,2.0651938267488896
9,naive,2017-12-01 00:00:00,2018-11-02 23:00:00,2018-11-03 00:00:00,2018-11-09 23:00:00,8088,168,650.672619047619,711.4300529483522,133.9093880385337,2.3358185700065706
9,seasonal_naive_24,2017-12-01 00:00:00,2018-11-02 23:00:00,2018-11-03 00:00:00,2018-11-09 23:00:00,8088,168,661.047619047619,879.9153909542072,121.80302918503851,2.3730632871721546
9,seasonal_naive_168,2017-12-01 00:00:00,2018-11-02 23:00:00,2018-11-03 00:00:00,2018-11-09 23:00:00,8088,168,613.8630952380952,797.8444807581178,125.00091108498357,2.2036778178826637
10,mean,2017-12-01 00:00:00,2018-11-09 23:00:00,2018-11-10 00:00:00,2018-11-16 23:00:00,8256,168,366.9703995939461,473.4586292169178,49.588622354048404,1.2821640593683041
10,naive,2017-12-01 00:00:00,2018-11-09 23:00:00,2018-11-10 00:00:00,2018-11-16 23:00:00,8256,168,830.2083333333334,947.4124943886952,200.0,2.9006788775495047
10,seasonal_naive_24,2017-12-01 00:00:00,2018-11-09 23:00:00,2018-11-10 00:00:00,2018-11-16 23:00:00,8256,168,830.2083333333334,947.4124943886952,200.0,2.9006788775495047
10,seasonal_naive_168,2017-12-01 00:00:00,2018-11-09 23:00:00,2018-11-10 00:00:00,2018-11-16 23:00:00,8256,168,577.3095238095239,754.2001755249761,120.25604664585383,2.0170714678313058
11,mean,2017-12-01 00:00:00,2018-11-16 23:00:00,2018-11-17 00:00:00,2018-11-23 23:00:00,8424,168,300.18255664089,394.38699746839956,47.939113963643635,1.0524364219487685
11,naive,2017-12-01 00:00:00,2018-11-16 23:00:00,2018-11-17 00:00:00,2018-11-23 23:00:00,8424,168,299.8392857142857,394.2489922081512,48.082123823847056,1.0512329182215794
11,seasonal_naive_24,2017-12-01 00:00:00,2018-11-16 23:00:00,2018-11-17 00:00:00,2018-11-23 23:00:00,8424,168,183.19642857142858,271.2346660138026,27.33430951590868,0.6422844683482332
11,seasonal_naive_168,2017-12-01 00:00:00,2018-11-16 23:00:00,2018-11-17 00:00:00,2018-11-23 23:00:00,8424,168,158.76190476190476,205.25210978557217,21.650830963672206,0.5566173226690084
12,mean,2017-12-01 00:00:00,2018-11-23 23:00:00,2018-11-24 00:00:00,2018-11-30 23:00:00,8592,168,299.557437150838,382.4417412210767,53.628370695811356,1.060954079141145
12,naive,2017-12-01 00:00:00,2018-11-23 23:00:00,2018-11-24 00:00:00,2018-11-30 23:00:00,8592,168,288.17261904761904,369.84101313942995,54.16698485786539,1.0206320316507733
12,seasonal_naive_24,2017-12-01 00:00:00,2018-11-23 23:00:00,2018-11-24 00:00:00,2018-11-30 23:00:00,8592,168,128.64880952380952,260.41929332008664,23.76753717918394,0.4556404292249636
12,seasonal_naive_168,2017-12-01 00:00:00,2018-11-23 23:00:00,2018-11-24 00:00:00,2018-11-30 23:00:00,8592,168,126.3452380952381,205.46839636489577,24.570276410213545,0.44748178183172527
