model,folds,mean_mae,std_mae,mean_rmse,std_rmse,mean_smape,std_smape,mean_mase,std_mase,mae_fold_wins,mae_rank
seasonal_naive_168,12,420.5605158730159,223.23603022274133,618.4764821198917,287.5234731488925,71.80398716026836,45.89731512850067,1.5725839564944055,0.871345432444166,5,1
seasonal_naive_24,12,444.0401785714286,270.57572452038875,621.3736751898215,320.7098666023319,80.87280121280057,60.669022441512084,1.6465930082627083,0.9992479715185426,3,2
mean,12,523.4971485455554,145.9217893346807,632.7504051922132,163.75065056129858,80.16125168514641,31.887964089111648,1.9534069271630063,0.6198645446896944,3,3
naive,12,566.2306547619047,181.066192245587,703.8230068207903,225.2494960387091,96.08378477118266,54.988351215629415,2.099390922814431,0.6825191128267484,1,4
